,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result
48,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
49,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
50,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
51,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
52,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
53,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
54,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
55,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
56,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
57,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
58,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
59,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
60,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
61,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
62,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
63,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
64,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
65,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
66,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
67,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
68,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
69,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
70,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
71,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
72,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
73,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
74,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
75,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
76,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
77,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
78,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
79,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
80,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
81,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
82,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
83,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
84,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
85,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
86,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
87,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
88,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
89,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
90,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
91,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
92,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
93,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
94,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
95,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
96,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
97,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
98,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
99,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
100,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
101,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
102,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
103,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
104,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
105,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
106,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
107,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
108,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
109,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
110,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
111,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
112,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
113,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
114,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
115,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
116,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
117,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
118,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
119,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
120,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
121,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
122,F3898601,19/01/2024 22:29:59,CHARTWELL HAMILTON CITY,00:00:00,Chartwell,
123,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
124,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
125,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
126,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
127,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
128,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
129,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
130,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
131,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
132,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
133,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
134,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
135,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
136,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
137,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
138,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
139,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
140,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
141,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
142,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
143,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
144,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
145,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
146,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
147,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
148,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
149,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
150,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
151,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
152,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
153,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
154,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
155,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
156,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
157,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
158,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
159,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
160,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
161,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
162,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
163,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
164,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
165,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
166,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
167,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
168,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
169,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
170,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
171,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
172,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
173,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
174,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
175,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
176,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
177,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
178,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
179,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
180,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
181,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
182,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
183,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
184,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
185,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
186,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
187,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
188,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
189,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
190,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
191,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
192,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
193,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
194,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
195,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
196,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
197,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
198,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
199,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
200,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
201,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
202,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
203,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
204,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
205,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
206,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
207,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
208,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
209,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
210,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
211,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
212,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
213,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
214,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
215,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
216,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
217,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
218,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
219,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
220,F3897934,18/01/2024 23:14:42,KINGSLAND AUCKLAND,00:10:24,"Grey Lynn, Balmoral, Auckland City",7100: FALSE ALARM (STRU)
